ID,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
5008804,1,1,1,1,0,0,0,0,2,15,427500,32.86857362,12.43557363,Working,Higher education,Civil marriage,Rented apartment,Other,1
5008806,1,1,1,0,0,0,0,0,2,29,112500,58.79381507,3.104786546,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5008808,0,0,1,0,1,1,0,0,1,4,270000,52.3214029,8.353354278,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0
5008812,0,0,1,0,0,0,1,0,1,20,283500,61.504343,0,Pensioner,Higher education,Separated,House / apartment,Other,0
5008815,1,1,1,1,1,1,0,0,2,5,270000,46.19396702,2.105450488,Working,Higher education,Married,House / apartment,Accountants,0
5008819,1,1,1,0,0,0,0,0,2,17,135000,48.67451077,3.269060966,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5008825,0,1,0,0,0,0,0,0,2,25,130500,29.21072986,3.019911429,Working,Incomplete higher,Married,House / apartment,Accountants,1
5008830,0,0,1,0,1,0,0,0,2,31,157500,27.46394519,4.021985393,Working,Secondary / secondary special,Married,House / apartment,Laborers,1
5008834,0,0,1,0,0,0,0,1,2,44,112500,30.02936405,4.435409351,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
5008836,1,1,1,0,0,0,0,3,5,24,270000,34.74130201,3.184185849,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008838,1,0,1,0,0,0,0,1,3,39,405000,32.42229478,5.519620526,Commercial associate,Higher education,Married,House / apartment,Managers,0
5008844,1,1,1,0,1,0,0,0,2,43,112500,56.13256946,12.18368618,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
5008854,0,1,1,0,0,0,0,2,4,39,135000,43.15215234,8.687378933,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008868,0,0,1,0,0,0,0,1,3,24,211500,44.3869484,19.43640184,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0
5008872,1,1,1,0,1,0,0,0,2,10,360000,45.64090981,14.68613319,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,1
5008873,0,0,1,0,0,1,0,2,4,21,126000,33.98016386,4.854309123,Commercial associate,Higher education,Married,House / apartment,Managers,0
5008884,0,0,1,0,0,0,1,0,1,40,315000,55.26739084,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5008888,0,0,1,0,0,0,0,0,1,11,247500,46.58822563,3.687960738,Commercial associate,Higher education,Separated,Rented apartment,Core staff,0
5008891,0,0,1,0,0,0,0,0,1,7,297000,42.48957884,8.854391261,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers,0
5008942,0,0,0,0,1,0,0,0,2,43,157500,37.35052739,13.26789736,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,1
5008947,1,0,1,1,1,0,0,0,2,12,135000,42.3937521,3.854973066,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5008951,1,0,1,0,0,0,0,1,3,45,225000,28.25793822,7.688042876,Working,Secondary / secondary special,Married,House / apartment,Other,0
5008955,0,1,1,0,0,0,0,0,2,4,135000,48.69367612,4.687296796,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008966,1,0,1,0,1,0,0,0,2,15,157500,43.8804356,2.433999329,Working,Secondary / secondary special,Married,House / apartment,Other,1
5008974,0,0,1,0,0,0,1,0,2,49,112500,61.10734649,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5008981,1,1,1,0,1,0,0,0,2,10,112500,57.15107086,6.518956584,State servant,Secondary / secondary special,Married,House / apartment,Drivers,0
5008991,0,1,1,1,1,0,0,0,1,30,270000,45.39997399,3.269060966,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,0
5008998,0,1,1,0,0,1,0,0,2,4,270000,29.09847567,2.266987002,Working,Higher education,Married,House / apartment,Managers,0
5009000,1,1,1,0,0,0,0,0,2,22,157500,27.17920286,2.266987002,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009001,1,0,1,1,1,0,0,0,2,40,166500,51.81762801,17.18310438,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009016,0,0,1,0,0,1,0,2,4,24,216000,42.28423582,8.520366606,State servant,Higher education,Married,House / apartment,Other,0
5009027,0,1,1,0,0,1,0,0,2,21,270000,54.37757107,29.68712568,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5009028,0,1,1,0,0,0,0,0,2,17,225000,39.56275625,7.603167758,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1
5009031,0,0,1,0,0,0,0,0,1,13,315000,28.89587055,3.269060966,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,0
5009033,0,0,0,0,0,0,1,0,2,16,255150,51.1495787,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Other,0
5009039,0,0,1,0,0,0,0,2,3,8,157500,39.22325578,1.519538389,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,0
